string_id;Modulneigung;Modulausrichtung;Anzahl Module in Serie;Anzahl Module parallel;Modulhersteller;Modultyp;Modulleistung;Anzahl Moduldosen;Anzahl Bypassdioden;Modularchitektur;Zelltyp;Baujahr;Bemerkungen
2;;;20;1;IBC;IBC-180M;180Wp;1;3;48 Zeller;monokristallin n-type;?;
7;22°;180°;1;1;Firstsolar;FS-382;82,5 Wp;1;0;cds/cdte Halbleiter,  154 aktive Solarzellen;Dünschicht;1984;Einzelmodulmessung
9;;;20;1;IBC;IBC-180M;180Wp;1;3;48 Zeller;monokristallin n-type;?;
10;;;20;1;IBC;IBC-180M;180Wp;1;3;48 Zeller;monokristallin n-type;?;
11;;;20;1;IBC;IBC-180M;180Wp;1;3;48 Zeller;monokristallin n-type;?;
12;;;20;1;IBC;IBC-180M;180Wp;1;3;48 Zeller;monokristallin n-type;?;
13;;;20;1;IBC;IBC-180M;180Wp;1;3;48 Zeller;monokristallin n-type;?;
14;;;20;1;IBC;IBC-180M;180Wp;1;3;48 Zeller;monokristallin n-type;?;
15;;;20;1;IBC;IBC-180M;180Wp;1;3;48 Zeller;monokristallin n-type;?;
24;15°;225°;20;1;Kyocera;KC180;180Wp;1;3;"48 Zeller 6"" Zellkantenlänge poly";poly;2011;Solarpark Sonnenwerk I Strang 25A
27;15°;185°;22;1;Winaico;WST-250P6;250Wp;1;3;"60 Zeller 6"" Zellkantenlänge poly";poly;??;
31;15°;185°;22;1;Winaico;WST-250P6;250Wp;1;3;"60 Zeller 6"" Zellkantenlänge poly";poly;??;
34;15°;185°;22;1;Winaico;WST-250P6;250Wp;1;3;"60 Zeller 6"" Zellkantenlänge poly";poly;??;
37;15°;185°;22;1;Winaico;WST-250P6;250Wp;1;3;"60 Zeller 6"" Zellkantenlänge poly";poly;??;
40;15°;185°;22;1;Winaico;WST-250P6;250Wp;1;3;"60 Zeller 6"" Zellkantenlänge poly";poly;??;
43;15°;185°;22;1;Winaico;WST-250P6;250Wp;1;3;"60 Zeller 6"" Zellkantenlänge poly";poly;??;
46;15°;185°;22;1;Winaico;WST-250P6;250Wp;1;3;"60 Zeller 6"" Zellkantenlänge poly";poly;??;
49;15°;185°;22;1;Winaico;WST-250P6;250Wp;1;3;"60 Zeller 6"" Zellkantenlänge poly";poly;??;
52;15°;185°;22;1;Winaico;WST-250P6;250Wp;1;3;"60 Zeller 6"" Zellkantenlänge poly";poly;??;
55;15°;185°;10;1;Winaico;WST-250P6;250Wp;1;3;"60 Zeller 6"" Zellkantenlänge poly";poly;??;
58;15°;185°;16;1;Winaico;WST-250P6;250Wp;1;3;"60 Zeller 6"" Zellkantenlänge poly";poly;??;
61;15°;185°;11;1;Winaico;WST-250P6;250Wp;1;3;"60 Zeller 6"" Zellkantenlänge poly";poly;??;
67;22°;180°;1;1;Firstsolar;FS-382;82,5 Wp;1;0;cds/cdte Halbleiter,  154 aktive Solarzellen;Dünschicht;?;Einzelmodulmessung
70;22°;180°;1;1;Firstsolar;FS-382;82,5 Wp;1;0;cds/cdte Halbleiter,  154 aktive Solarzellen;Dünschicht;?;Einzelmodulmessung
73;22°;180°;1;1;Firstsolar;FS-382;82,5 Wp;1;0;cds/cdte Halbleiter,  154 aktive Solarzellen;Dünschicht;?;Einzelmodulmessung
76;22°;180°;1;1;Firstsolar;FS-382;82,5 Wp;1;0;cds/cdte Halbleiter,  154 aktive Solarzellen;Dünschicht;?;Einzelmodulmessung
79;22°;180°;1;1;Firstsolar;FS-382;82,5 Wp;1;0;cds/cdte Halbleiter,  154 aktive Solarzellen;Dünschicht;?;Einzelmodulmessung
82;22°;180°;1;1;Firstsolar;FS-382;82,5 Wp;1;0;cds/cdte Halbleiter,  154 aktive Solarzellen;Dünschicht;?;Einzelmodulmessung
85;22°;180°;1;1;Firstsolar;FS-382;82,5 Wp;1;0;cds/cdte Halbleiter,  154 aktive Solarzellen;Dünschicht;?;Einzelmodulmessung
88;22°;180°;1;1;Firstsolar;FS-382;82,5 Wp;1;0;cds/cdte Halbleiter,  154 aktive Solarzellen;Dünschicht;?;Einzelmodulmessung
91;22°;180°;1;1;Firstsolar;FS-382;82,5 Wp;1;0;cds/cdte Halbleiter,  154 aktive Solarzellen;Dünschicht;?;Einzelmodulmessung
94;22°;180°;1;1;Firstsolar;FS-382;82,5 Wp;1;0;cds/cdte Halbleiter,  154 aktive Solarzellen;Dünschicht;?;Einzelmodulmessung
98;;;1;1;Solon;P165/5;165 Wp;1;3;"72 Zeller 5"" Zellkantenlänge";polykristallin;?;Einzelmodulmessung
101;;;1;1;Solon;P165/5;165 Wp;1;3;"72 Zeller 5"" Zellkantenlänge";polykristallin;?;Einzelmodulmessung
104;;;1;1;Solon;P165/5;165 Wp;1;3;"72 Zeller 5"" Zellkantenlänge";polykristallin;?;Einzelmodulmessung
107;;;1;1;Solon;P165/5;165 Wp;1;3;"72 Zeller 5"" Zellkantenlänge";polykristallin;?;Einzelmodulmessung
110;;;1;1;Solon;P165/5;165 Wp;1;3;"72 Zeller 5"" Zellkantenlänge";polykristallin;?;Einzelmodulmessung
113;;;1;1;Solon;P165/5;165 Wp;1;3;"72 Zeller 5"" Zellkantenlänge";polykristallin;?;Einzelmodulmessung
115;;;1;1;Solon;P165/5;165 Wp;1;3;"72 Zeller 5"" Zellkantenlänge";polykristallin;?;Einzelmodulmessung
118;;;1;1;Solon;P165/5;165 Wp;1;3;"72 Zeller 5"" Zellkantenlänge";polykristallin;?;Einzelmodulmessung
121;;;1;1;Solon;P165/5;165 Wp;1;3;"72 Zeller 5"" Zellkantenlänge";polykristallin;?;Einzelmodulmessung
125;10;270;14;1;Sunpower;E19 240;240 Wp;1;3;"72 Zeller 5"" Zellkantenlänge";"monokristallin n-type 
rückseitenkontaktiert";2011;
128;10;270;14;1;Sunpower;E19 240;240 Wp;1;3;"72 Zeller 5"" Zellkantenlänge";"monokristallin n-type 
rückseitenkontaktiert";2011;
